Conta_ID,Cliente_ID,Agencia_ID,Saldo
173,63,2,32802.9
174,2,1,38921.02
175,57,2,40205.49
176,179,5,23227.49
177,143,2,45873.5
178,32,4,6666.96
179,119,5,49394.62
180,153,3,47501.98
181,114,5,40750.33
182,130,4,41528.46
183,141,4,44860.41
184,191,4,22503.49
185,193,2,41993.14
186,71,5,24229.85
187,62,3,21993.63
188,183,3,11724.68
189,86,3,44651.34
190,21,2,7541.53
191,99,2,35320.96
192,17,4,20379.97
193,139,4,20788.71
194,53,4,19473.84
195,198,5,47303.1
196,6,5,19019.05
197,2,3,14930.63
198,100,4,26911.03
199,189,5,39993.41
200,57,4,10971.08
201,112,4,1451.24
202,87,4,36209.07
203,120,2,49036.1
204,137,1,45346.44
205,152,5,33149.99
206,22,4,6784.97
207,119,2,2514.23
208,98,3,10583.01
209,84,3,38061.49
210,98,3,37600.49
211,108,3,41745.55
212,121,1,37451.21
213,14,3,11211.11
214,18,1,37711.66
215,64,2,41961.44
216,160,2,11927.25
217,122,1,28198.48
218,56,4,34973.25
219,197,3,8389.46
220,156,1,38889.59
221,42,3,5404.94
222,7,3,28789.84
223,97,4,47073.53
224,51,1,29604.89
225,161,2,5095.07
226,198,3,42514.66
227,154,1,39811.36
228,145,1,17360.19
229,110,3,3447.84
230,166,3,632.61
231,108,4,5276.94
232,93,4,35365.43
233,112,2,36689.77
234,167,3,30795.62
235,138,4,23243.69
236,188,5,13419.78
237,63,1,13946.41
238,116,2,37523.81
239,146,5,33409.42
240,87,1,24715.33
241,84,2,24377.5
242,91,3,17016.94
243,153,3,27789.55
244,133,2,4280.65
245,185,4,24428.89
246,195,2,34530.47
247,166,4,22408.73
248,5,1,14711.78
249,104,2,15310.3
250,149,3,23663.02
251,136,3,21275.19
252,191,5,16539.56
253,180,4,13545.82
254,65,2,6032.79
255,50,3,5977.74
256,138,2,9577.05
257,190,4,13824.98
258,151,5,29839.54
259,26,2,14812.32
260,93,2,15113.38
261,182,5,6329.15
262,12,1,27667.95
263,179,2,31893.48
264,193,4,5129.38
265,4,5,14216.97
266,123,4,17035.3
267,14,3,47053.18
268,123,1,41105.78
269,103,4,3704.11
270,162,1,7586.35
271,145,3,4259.05
272,64,1,27903.65
273,107,5,29806.34
274,159,2,38784.68
275,98,4,45425.22
276,77,5,49501.56
277,79,5,31051.37
278,157,1,47379.51
279,54,2,13232.31
280,21,2,11993.26
281,142,1,7826.63
282,105,4,34468.56
283,121,3,1631.99
284,74,3,35149.38
285,117,1,34369.25
286,68,5,33059.15
287,51,4,5738.82
288,58,2,45420.57
289,37,1,2981.9
290,79,5,37447.89
291,146,3,21957.67
292,120,3,34986.68
293,70,5,26999.08
294,113,1,29901.83
295,111,3,30185.68
296,7,1,11446.22
297,173,5,29356.15
298,6,3,28812.35
299,196,2,23525.04
300,167,4,45803.64
