Transacao_ID,Conta_Origem_ID,Conta_Destino_ID,Tipo_Transacao_ID,Valor,Data_Hora
74,252,103,1,682.96,2025-02-07T14:11:00
75,228,45,3,3340.86,2025-02-03T17:34:00
76,149,154,2,3560.49,2025-03-31T11:32:00
77,115,63,2,3961.37,2025-05-02T15:01:00
78,185,284,3,2339.69,2025-10-10T04:39:00
79,45,34,3,1993.81,2025-09-03T16:26:00
80,210,295,1,631.01,2025-06-12T20:04:00
81,231,239,3,646.03,2025-10-10T20:37:00
82,94,67,4,2516.8,2025-01-29T03:33:00
83,79,156,2,814.02,2025-04-26T11:33:00
84,146,41,3,985.53,2025-10-10T08:08:00
85,156,274,1,2515.35,2025-03-28T18:37:00
86,79,88,3,4213.44,2025-10-16T01:52:00
87,15,42,1,4742.99,2025-10-23T08:41:00
88,108,293,4,3092.45,2025-01-16T15:56:00
89,280,149,3,2417.31,2025-07-27T09:29:00
90,38,31,2,2200.83,2025-09-05T14:13:00
91,175,74,3,4308.12,2025-06-13T23:55:00
92,177,205,2,3804.52,2025-09-21T17:06:00
93,164,124,4,617.0,2025-08-19T07:09:00
94,50,26,3,4727.2,2025-08-03T07:55:00
95,82,168,3,953.22,2025-03-23T15:32:00
96,240,256,3,2489.36,2025-02-16T12:32:00
97,235,124,2,2918.8,2025-01-25T01:18:00
98,254,241,3,2685.77,2025-02-25T13:08:00
99,136,188,4,1832.86,2025-07-25T01:36:00
100,288,100,3,2768.35,2025-02-07T12:32:00
101,231,282,3,4127.43,2025-03-02T04:06:00
102,202,192,3,2791.37,2025-07-07T04:12:00
103,261,206,1,231.29,2025-03-12T22:21:00
104,243,266,4,748.96,2025-09-21T04:20:00
105,164,84,4,4953.13,2025-06-03T18:21:00
106,260,261,4,3545.16,2025-06-03T15:52:00
107,9,189,3,3370.66,2025-08-02T18:19:00
108,14,243,3,4835.52,2025-10-24T18:14:00
109,27,299,4,856.71,2025-07-14T04:52:00
110,125,17,1,957.97,2025-08-14T10:26:00
111,78,212,2,2054.84,2025-08-30T23:46:00
112,32,71,2,2806.63,2025-09-02T16:24:00
113,161,89,4,4561.06,2025-06-25T17:22:00
114,136,248,2,4786.9,2025-05-23T17:19:00
115,116,153,3,3525.98,2025-09-08T10:30:00
116,179,287,3,1442.51,2025-10-21T21:34:00
117,195,203,3,4773.27,2025-03-16T09:02:00
118,148,41,3,4620.43,2025-05-12T23:30:00
119,110,104,3,4665.45,2025-05-20T04:06:00
120,123,125,1,3350.82,2025-09-29T07:40:00
121,120,27,1,2069.44,2025-08-30T03:43:00
122,71,3,2,2037.5,2025-09-01T15:41:00
123,103,148,3,1430.65,2025-01-31T02:41:00
124,294,119,1,4566.58,2025-03-31T13:56:00
125,91,19,4,3940.86,2025-04-06T23:55:00
126,149,20,1,1495.47,2025-02-24T10:18:00
127,233,279,4,4446.85,2025-03-10T16:29:00
128,140,99,1,1656.77,2025-08-23T20:16:00
129,96,8,3,3954.88,2025-10-18T21:48:00
130,99,90,4,4135.81,2025-09-21T10:05:00
131,206,49,2,4908.52,2025-09-02T10:59:00
132,128,4,3,1920.95,2025-08-17T08:21:00
133,155,299,1,1311.46,2025-07-04T22:15:00
134,32,61,4,1537.5,2025-07-27T21:32:00
135,160,61,3,1840.88,2025-04-24T07:08:00
136,245,79,4,3739.94,2025-07-11T13:44:00
137,282,242,2,3810.49,2025-02-11T16:28:00
138,271,186,1,4586.64,2025-02-27T01:53:00
139,281,259,2,2865.64,2025-03-18T05:20:00
140,267,227,1,3403.07,2025-10-26T15:05:00
141,262,229,1,2269.89,2025-09-20T13:29:00
142,289,30,4,3365.47,2025-06-07T23:01:00
143,203,131,1,3730.29,2025-10-24T02:02:00
144,217,177,1,2708.11,2025-01-31T02:59:00
145,242,17,3,2047.29,2025-03-11T20:46:00
146,216,192,4,2245.44,2025-07-13T12:05:00
147,277,69,3,597.57,2025-10-03T12:33:00
148,66,115,1,3782.12,2025-06-02T14:43:00
149,279,218,4,4117.69,2025-05-07T14:22:00
150,80,142,2,4687.36,2025-02-27T01:51:00
151,215,9,2,1034.38,2025-02-21T19:02:00
152,229,25,2,3704.0,2025-07-25T14:14:00
153,277,112,1,704.98,2025-05-29T07:52:00
154,295,164,3,1188.34,2025-03-15T21:33:00
155,114,212,3,1379.39,2025-10-13T18:56:00
156,90,219,4,239.19,2025-06-26T20:42:00
157,196,269,3,3483.06,2025-07-29T04:19:00
158,193,95,4,1208.64,2025-04-26T09:54:00
159,74,238,1,2814.12,2025-08-02T17:33:00
160,69,199,2,1278.7,2025-06-19T20:05:00
161,231,190,1,2680.5,2025-04-08T01:17:00
162,194,21,1,944.88,2025-10-28T23:42:00
163,287,112,4,1048.4,2025-06-20T09:58:00
164,8,109,2,4810.58,2025-03-02T23:48:00
165,246,125,2,1986.18,2025-05-03T17:20:00
166,145,195,4,2670.58,2025-07-03T09:16:00
167,185,263,4,2332.69,2025-08-29T10:58:00
168,105,190,3,2072.58,2025-10-16T07:47:00
169,75,9,3,2768.79,2025-10-27T18:46:00
170,214,152,2,984.98,2025-04-28T12:36:00
171,126,256,3,1290.35,2025-09-08T23:41:00
172,252,236,2,3665.2,2025-06-30T05:08:00
173,280,251,2,4584.91,2025-10-05T20:03:00
174,269,18,1,4726.21,2025-01-25T00:26:00
175,71,119,1,3537.31,2025-01-05T06:32:00
176,234,192,1,3091.09,2025-09-05T21:31:00
177,9,4,4,64.2,2025-09-29T23:17:00
178,275,147,1,2513.57,2025-08-09T05:06:00
179,50,269,2,1208.64,2025-09-27T08:52:00
180,182,137,4,399.7,2025-07-27T14:36:00
181,125,116,3,3421.79,2025-02-11T20:54:00
182,17,48,4,1899.42,2025-10-10T15:03:00
183,5,88,1,2501.79,2025-08-11T20:50:00
184,170,290,1,4474.48,2025-01-22T07:13:00
185,291,244,3,237.58,2025-02-08T21:59:00
186,144,279,1,900.88,2025-06-11T00:13:00
187,74,204,1,1499.89,2025-10-16T07:36:00
188,200,277,3,1922.31,2025-03-13T22:46:00
189,41,257,3,273.21,2025-08-12T07:53:00
190,39,175,4,4844.76,2025-06-17T00:40:00
191,140,231,4,1144.55,2025-10-11T12:27:00
192,96,300,4,433.04,2025-06-01T07:45:00
193,38,43,3,775.33,2025-03-20T23:24:00
194,163,185,1,462.14,2025-06-07T14:23:00
195,139,53,2,441.05,2025-08-09T14:35:00
196,285,263,4,520.95,2025-02-15T11:35:00
197,48,167,4,66.64,2025-07-31T12:49:00
198,44,287,2,2861.94,2025-03-28T21:24:00
199,87,72,3,1509.15,2025-09-10T04:04:00
200,86,223,3,2108.41,2025-09-05T02:23:00
201,129,127,4,2971.06,2025-04-11T14:06:00
202,70,156,1,4744.37,2025-06-20T19:24:00
203,169,226,3,2155.93,2025-03-11T09:20:00
204,103,246,3,892.3,2025-07-23T10:18:00
205,252,295,2,1632.8,2025-05-24T12:23:00
206,59,289,2,2963.17,2025-10-07T05:43:00
207,282,14,4,4715.16,2025-04-18T14:51:00
208,150,36,4,3366.52,2025-03-13T20:19:00
209,124,130,2,3577.61,2025-07-13T02:28:00
210,246,299,4,2674.17,2025-08-03T17:02:00
211,185,275,1,551.3,2025-05-08T21:42:00
212,182,86,1,2818.29,2025-07-24T10:50:00
213,221,55,1,497.54,2025-04-24T16:47:00
214,266,286,2,2231.66,2025-07-20T14:49:00
215,257,78,3,4988.53,2025-09-05T03:18:00
216,213,44,1,4157.43,2025-03-14T11:19:00
217,176,234,2,2607.97,2025-06-28T15:06:00
218,225,232,3,340.54,2025-01-23T22:07:00
219,12,176,1,3387.31,2025-03-26T23:15:00
220,265,90,2,1658.29,2025-08-07T14:14:00
221,208,95,2,3204.19,2025-08-10T12:01:00
222,102,231,4,1947.23,2025-04-20T06:17:00
223,33,296,1,3998.51,2025-10-02T05:23:00
224,167,101,4,574.21,2025-09-08T16:40:00
225,161,199,4,2937.09,2025-06-28T11:54:00
226,235,89,3,4593.82,2025-02-13T21:08:00
227,161,61,2,1530.37,2025-04-04T11:44:00
228,73,262,4,2094.1,2025-03-12T18:24:00
229,217,96,4,3179.33,2025-03-30T17:10:00
230,251,148,2,939.56,2025-08-19T19:03:00
231,184,5,4,686.99,2025-07-16T17:32:00
232,254,210,4,2081.07,2025-08-16T15:10:00
233,43,290,1,3980.43,2025-04-23T09:02:00
234,141,116,3,845.2,2025-08-23T18:47:00
235,254,282,1,2865.71,2025-05-18T17:52:00
236,188,278,1,3801.22,2025-08-14T17:13:00
237,218,53,2,1492.06,2025-01-17T14:16:00
238,179,45,4,4327.13,2025-03-02T07:13:00
239,180,220,2,3082.68,2025-04-16T06:51:00
240,31,292,3,2663.74,2025-10-03T05:20:00
241,150,149,3,4762.22,2025-09-21T21:52:00
242,49,70,4,4594.25,2025-05-22T20:08:00
243,68,128,2,3558.42,2025-05-07T21:25:00
244,251,73,3,3140.93,2025-07-12T14:04:00
245,48,207,3,3475.04,2025-07-08T14:31:00
246,168,298,1,4345.19,2025-02-17T23:29:00
247,184,33,4,1093.06,2025-08-08T06:31:00
248,138,166,3,1692.09,2025-10-23T04:36:00
249,249,176,1,234.48,2025-08-24T00:07:00
250,81,226,4,8.38,2025-08-08T06:44:00
251,68,155,2,4372.74,2025-05-21T02:41:00
252,185,129,1,1862.36,2025-03-26T01:25:00
253,157,120,4,3279.15,2025-02-18T00:13:00
254,245,40,2,2970.43,2025-09-23T21:28:00
255,5,176,1,4940.83,2025-08-05T22:08:00
256,245,37,2,1918.43,2025-02-22T03:20:00
257,189,154,2,1916.69,2025-03-10T20:43:00
258,74,36,1,3053.54,2025-03-26T14:22:00
259,110,78,4,3082.3,2025-08-15T06:05:00
260,52,72,1,2949.92,2025-07-16T11:27:00
261,162,72,2,1388.45,2025-02-13T07:35:00
262,146,14,3,1031.2,2025-09-18T06:47:00
263,201,152,1,3920.09,2025-05-03T15:24:00
264,58,124,4,3192.22,2025-02-06T16:56:00
265,7,185,3,664.25,2025-10-19T13:23:00
266,280,89,4,4772.49,2025-02-07T00:37:00
267,35,8,3,1082.64,2025-01-31T12:32:00
268,147,257,4,2120.76,2025-07-25T02:40:00
269,275,276,2,1390.95,2025-06-08T02:32:00
270,105,80,3,1956.7,2025-02-03T09:44:00
271,224,123,1,1226.18,2025-08-11T03:29:00
272,29,159,2,601.62,2025-03-12T22:00:00
273,84,255,3,2617.41,2025-05-13T05:23:00
274,65,138,1,3858.29,2025-01-16T10:51:00
275,220,140,1,1318.43,2025-10-23T20:04:00
276,255,234,3,281.92,2025-10-18T05:23:00
277,81,131,1,4471.87,2025-03-01T07:47:00
278,261,2,1,4294.15,2025-01-07T07:02:00
279,242,187,4,4601.53,2025-04-02T01:35:00
280,215,115,3,1245.07,2025-06-13T08:52:00
281,40,293,3,601.41,2025-01-27T05:14:00
282,265,24,4,349.29,2025-08-27T09:49:00
283,160,168,1,2767.69,2025-01-05T11:12:00
284,150,289,3,3699.18,2025-05-05T14:23:00
285,253,101,2,757.08,2025-07-29T00:14:00
286,278,178,1,4755.2,2025-01-01T21:24:00
287,158,54,2,2651.42,2025-05-02T13:31:00
288,31,73,3,469.67,2025-04-29T16:26:00
289,191,235,1,2905.95,2025-09-16T04:40:00
290,202,39,1,2177.74,2025-03-08T07:18:00
291,134,162,4,3505.12,2025-06-17T10:28:00
292,140,120,1,4718.06,2025-03-11T18:06:00
293,80,55,2,2250.59,2025-06-10T13:07:00
294,275,184,2,2262.33,2025-08-26T08:54:00
295,62,47,2,4038.95,2025-06-05T22:44:00
296,21,111,3,745.88,2025-05-08T11:25:00
297,263,26,3,1304.53,2025-03-31T00:25:00
298,232,285,2,478.15,2025-02-22T04:07:00
299,7,32,2,657.92,2025-07-25T11:43:00
300,44,299,3,4587.56,2025-02-08T00:04:00
301,102,228,2,464.43,2025-06-19T03:02:00
302,237,26,2,4621.04,2025-08-10T23:25:00
303,255,16,4,3417.65,2025-03-30T11:13:00
304,96,141,3,2232.83,2025-03-18T01:39:00
305,126,152,4,2062.9,2025-10-09T15:03:00
306,45,144,4,690.49,2025-04-13T20:56:00
307,270,128,1,4947.07,2025-07-03T15:34:00
308,249,177,3,1944.96,2025-04-03T00:20:00
309,113,16,3,297.66,2025-08-30T16:22:00
310,300,120,2,505.17,2025-05-04T08:34:00
311,29,113,4,1777.25,2025-03-30T05:15:00
312,163,184,1,3518.75,2025-06-30T18:36:00
313,73,289,2,4184.3,2025-09-10T17:19:00
314,90,252,1,455.84,2025-04-30T19:14:00
315,11,270,4,8.41,2025-04-14T04:21:00
316,91,166,1,114.45,2025-10-28T22:58:00
317,73,57,3,4802.99,2025-07-11T22:42:00
318,203,52,3,1512.32,2025-03-11T05:46:00
319,224,250,3,875.14,2025-10-15T22:56:00
320,183,115,2,1895.03,2025-05-31T04:11:00
321,1,294,4,4254.53,2025-10-18T01:11:00
322,163,114,1,4683.76,2025-03-14T10:47:00
323,40,122,3,4911.99,2025-03-27T20:56:00
324,46,172,4,61.92,2025-04-18T07:44:00
325,35,180,3,3936.16,2025-01-01T01:24:00
326,225,215,2,4423.34,2025-09-10T12:22:00
327,280,193,1,4144.89,2025-10-23T20:48:00
328,116,84,4,373.18,2025-01-18T09:01:00
329,164,134,1,375.63,2025-03-29T12:10:00
330,39,281,1,1693.06,2025-09-05T22:01:00
331,221,85,4,789.73,2025-02-21T10:13:00
332,98,210,3,3304.69,2025-06-02T07:06:00
333,26,202,4,772.18,2025-07-04T00:27:00
334,45,151,4,1002.38,2025-01-14T06:10:00
335,150,42,4,4219.63,2025-06-07T12:30:00
336,251,136,1,3211.12,2025-07-18T05:23:00
337,196,190,2,2231.65,2025-05-15T14:29:00
338,135,116,3,2823.41,2025-03-19T22:42:00
339,50,44,3,4041.86,2025-07-31T18:14:00
340,284,32,4,4092.93,2025-08-03T17:43:00
341,244,294,2,2383.93,2025-02-10T12:57:00
342,18,258,2,605.81,2025-08-18T05:10:00
343,109,99,2,218.17,2025-02-10T21:27:00
344,104,76,3,1602.15,2025-02-04T02:24:00
345,285,204,3,4283.84,2025-09-24T14:58:00
346,7,268,4,567.03,2025-03-18T04:36:00
347,299,52,1,2815.61,2025-02-21T09:55:00
348,275,177,4,1324.36,2025-09-06T18:38:00
349,243,20,2,1380.69,2025-03-15T19:38:00
350,206,20,4,4448.42,2025-06-19T22:15:00
351,26,244,3,4485.67,2025-01-11T10:52:00
352,156,160,3,4215.02,2025-02-20T07:08:00
353,154,227,3,1350.75,2025-08-02T19:41:00
354,46,97,4,1060.9,2025-07-28T23:31:00
355,265,192,1,2578.77,2025-03-23T02:19:00
356,260,207,2,3903.68,2025-09-26T18:01:00
357,89,99,2,4185.7,2025-05-08T01:29:00
358,26,185,2,1373.52,2025-08-26T16:25:00
359,64,16,2,1865.47,2025-08-17T05:55:00
360,243,283,3,1724.52,2025-05-13T23:53:00
361,47,146,1,1935.9,2025-03-25T18:49:00
362,110,114,2,3390.09,2025-05-18T20:26:00
363,263,11,1,2373.12,2025-03-09T20:11:00
364,5,115,3,3043.68,2025-06-06T22:45:00
365,141,217,4,4258.67,2025-08-24T08:13:00
366,239,155,4,2924.51,2025-01-04T16:42:00
367,192,288,3,1495.89,2025-02-25T15:04:00
368,173,142,3,4308.15,2025-05-14T20:45:00
369,153,97,2,2588.88,2025-05-04T01:51:00
370,207,164,2,3607.81,2025-09-12T09:16:00
371,215,208,4,3684.98,2025-10-26T22:36:00
372,98,176,2,3433.16,2025-09-01T21:22:00
373,260,154,2,4203.99,2025-10-13T05:18:00
374,50,242,2,3705.89,2025-10-14T05:43:00
375,172,46,2,1779.64,2025-06-07T13:50:00
376,170,191,3,2929.93,2025-08-26T03:30:00
377,28,299,1,2363.74,2025-04-10T16:07:00
378,196,272,3,2068.47,2025-03-19T04:12:00
379,176,210,4,720.4,2025-04-03T02:31:00
380,171,91,3,3174.32,2025-01-03T14:17:00
381,108,87,2,2450.44,2025-02-15T04:39:00
382,223,220,4,2147.98,2025-09-02T12:00:00
383,20,274,2,3654.64,2025-01-08T10:48:00
384,272,98,1,3385.36,2025-05-08T07:44:00
385,177,160,2,518.03,2025-09-15T18:19:00
386,86,34,1,1494.52,2025-05-29T14:46:00
387,267,269,3,2171.16,2025-03-10T10:57:00
388,251,184,2,828.59,2025-07-26T00:14:00
389,115,68,2,3671.71,2025-09-16T05:07:00
390,188,20,4,4383.34,2025-05-11T17:39:00
391,25,56,1,245.93,2025-03-01T13:28:00
392,195,64,3,2374.61,2025-03-20T06:44:00
393,5,155,4,3310.01,2025-09-24T08:39:00
394,71,215,1,2560.37,2025-03-02T09:07:00
395,55,255,2,3046.96,2025-05-15T16:12:00
396,184,210,3,806.07,2025-10-08T15:58:00
397,107,247,3,1176.35,2025-01-07T21:05:00
398,57,294,4,749.98,2025-02-16T16:04:00
399,52,132,2,2286.47,2025-06-01T08:29:00
400,26,52,2,4371.33,2025-05-29T11:51:00
401,161,219,1,479.52,2025-01-24T00:54:00
402,71,88,3,1790.85,2025-08-13T19:17:00
403,48,191,3,918.43,2025-07-25T12:29:00
404,140,198,4,4000.5,2025-03-27T03:08:00
405,31,82,1,2083.06,2025-09-05T18:43:00
406,225,93,4,3896.93,2025-01-15T21:56:00
407,67,248,4,569.12,2025-07-30T14:02:00
408,33,134,3,66.74,2025-09-26T23:36:00
409,290,115,3,2597.9,2025-02-18T13:42:00
410,128,247,3,3320.23,2025-07-17T04:53:00
411,286,28,1,3218.78,2025-03-22T16:54:00
412,241,254,2,378.95,2025-09-09T10:15:00
413,170,143,1,2537.11,2025-10-09T20:24:00
414,207,121,1,2298.18,2025-10-21T14:05:00
415,256,229,3,597.94,2025-09-12T23:41:00
416,10,53,4,2064.63,2025-10-13T17:00:00
417,47,156,2,3274.71,2025-08-22T10:23:00
418,28,115,4,1663.2,2025-08-31T22:42:00
419,187,232,1,491.7,2025-04-24T00:21:00
420,182,150,3,3511.97,2025-01-24T05:31:00
421,72,210,1,1275.18,2025-04-11T06:07:00
422,202,111,4,4123.65,2025-04-08T22:21:00
423,56,213,1,4633.5,2025-03-05T14:29:00
424,259,69,4,26.67,2025-01-25T17:59:00
425,222,300,4,4622.23,2025-04-01T22:37:00
426,89,66,1,1940.09,2025-06-14T16:56:00
427,197,215,2,1371.61,2025-06-25T09:28:00
428,69,71,4,3014.61,2025-09-20T09:53:00
429,281,161,2,1008.44,2025-05-29T21:22:00
430,68,92,3,3553.21,2025-06-30T17:30:00
431,299,293,4,3372.85,2025-10-01T09:56:00
432,217,7,1,131.23,2025-03-16T01:42:00
433,29,103,3,3752.17,2025-03-24T09:43:00
434,129,75,1,3454.52,2025-06-01T06:48:00
435,278,17,3,4071.06,2025-02-22T19:55:00
436,288,115,4,1191.79,2025-05-28T22:42:00
437,25,196,4,2085.75,2025-06-10T17:03:00
438,7,129,2,3104.71,2025-08-15T07:58:00
439,189,280,2,3881.85,2025-04-10T09:28:00
440,91,39,2,4812.56,2025-09-21T03:24:00
441,21,220,3,2785.21,2025-03-08T05:37:00
442,131,3,3,2334.33,2025-03-21T01:09:00
443,166,27,3,2455.3,2025-10-21T17:22:00
444,38,163,2,4785.15,2025-09-24T02:50:00
445,259,82,4,2717.69,2025-07-26T02:22:00
446,114,110,3,1658.68,2025-05-31T06:48:00
447,272,244,1,578.04,2025-06-27T14:15:00
448,125,21,3,1909.96,2025-02-28T12:16:00
449,277,145,1,4557.12,2025-07-11T16:51:00
450,261,229,4,224.04,2025-04-09T10:32:00
451,43,50,2,4858.29,2025-10-03T17:00:00
452,34,108,2,4325.43,2025-08-06T03:13:00
453,276,223,1,3735.72,2025-03-20T00:29:00
454,170,20,1,370.87,2025-04-02T08:35:00
455,37,295,2,4555.38,2025-07-28T12:28:00
456,208,222,3,89.37,2025-03-02T17:00:00
457,33,300,1,3505.91,2025-02-07T11:59:00
458,258,55,3,3935.53,2025-06-04T19:05:00
459,145,225,4,1978.59,2025-01-16T15:10:00
460,274,113,2,3735.04,2025-10-07T09:40:00
461,74,153,3,4787.17,2025-01-06T17:55:00
462,285,73,1,213.66,2025-10-21T19:25:00
463,276,281,1,1526.93,2025-06-26T06:26:00
464,263,73,2,924.04,2025-05-10T06:07:00
465,93,291,1,4257.68,2025-10-09T14:41:00
466,282,38,3,3360.07,2025-05-09T03:12:00
467,298,250,3,1788.91,2025-05-01T03:18:00
468,36,100,3,2431.88,2025-06-18T19:42:00
469,157,300,2,2829.93,2025-07-06T10:27:00
470,87,3,3,1234.64,2025-04-24T22:47:00
471,224,142,3,675.86,2025-06-19T15:29:00
472,229,184,3,2437.42,2025-02-25T05:41:00
473,42,144,2,4457.03,2025-04-11T08:46:00
474,40,39,1,4248.69,2025-01-16T18:37:00
475,208,109,1,2760.21,2025-10-06T17:30:00
476,77,188,4,1120.42,2025-05-29T04:29:00
477,257,262,1,1986.94,2025-09-15T00:42:00
478,123,85,2,2233.87,2025-04-02T18:36:00
479,75,248,3,206.9,2025-09-07T07:04:00
480,136,190,2,218.83,2025-04-16T16:58:00
481,185,199,4,4589.92,2025-01-24T01:41:00
482,166,53,3,4175.19,2025-05-15T18:34:00
483,292,90,4,3270.11,2025-07-07T18:41:00
484,40,265,3,1884.76,2025-04-25T16:25:00
485,181,177,4,3964.32,2025-01-04T16:56:00
486,72,226,2,1153.8,2025-09-21T20:17:00
487,109,77,2,791.0,2025-03-02T21:14:00
488,213,170,1,2410.18,2025-09-03T15:13:00
489,83,211,1,1222.13,2025-03-07T18:37:00
490,83,69,1,4454.53,2025-03-17T01:10:00
491,133,93,4,2998.79,2025-10-16T20:01:00
492,146,44,2,2248.77,2025-08-30T15:10:00
493,113,211,2,3974.11,2025-04-04T19:42:00
494,262,136,2,3622.31,2025-06-25T14:38:00
495,36,118,4,1930.38,2025-02-25T00:12:00
496,268,259,4,4133.44,2025-02-19T05:30:00
497,20,273,1,470.48,2025-03-08T19:34:00
498,1,221,4,1855.04,2025-01-23T22:33:00
499,220,118,4,3948.83,2025-07-15T11:37:00
500,295,51,4,673.75,2025-09-02T07:58:00
501,43,146,4,1292.74,2025-01-03T22:47:00
502,4,296,1,2601.21,2025-07-12T20:13:00
503,162,210,3,537.38,2025-08-07T20:37:00
504,130,134,4,2825.53,2025-05-22T21:25:00
505,105,212,4,897.7,2025-10-14T17:30:00
506,130,158,3,3872.1,2025-07-23T23:08:00
507,61,118,4,3916.63,2025-03-24T03:13:00
508,261,206,3,4005.26,2025-01-27T05:24:00
509,3,47,2,2360.98,2025-08-11T02:04:00
510,135,114,3,404.8,2025-01-20T23:24:00
511,206,267,3,3559.47,2025-01-30T05:40:00
512,254,225,1,1012.53,2025-09-23T09:12:00
513,18,262,2,3077.87,2025-01-19T11:15:00
514,1,81,1,4984.1,2025-07-24T11:42:00
515,203,208,2,2591.12,2025-02-05T02:35:00
516,146,287,3,1740.64,2025-05-22T07:38:00
517,100,233,4,2876.66,2025-05-14T05:26:00
518,260,55,1,2518.33,2025-06-24T03:51:00
519,263,132,3,3472.49,2025-07-13T18:30:00
520,125,174,4,3409.57,2025-10-28T00:30:00
521,60,133,1,1916.45,2025-04-23T21:44:00
522,118,162,4,4777.45,2025-09-22T17:00:00
523,135,128,3,469.58,2025-06-25T02:35:00
524,92,244,3,1770.92,2025-10-21T08:11:00
525,98,256,2,1178.13,2025-05-04T08:13:00
526,118,104,2,4182.49,2025-07-02T04:49:00
527,55,62,1,3380.68,2025-09-10T19:00:00
528,278,22,4,1859.13,2025-06-11T15:57:00
529,295,141,4,918.44,2025-09-19T08:25:00
530,114,296,2,275.47,2025-08-05T15:34:00
531,17,258,3,1971.62,2025-03-31T14:07:00
532,266,236,3,3447.61,2025-01-07T21:13:00
533,195,298,1,1630.55,2025-05-13T05:35:00
534,135,122,3,2359.37,2025-06-25T11:11:00
535,256,218,2,2098.37,2025-07-10T11:54:00
536,206,144,4,903.55,2025-03-09T18:43:00
537,118,52,3,4021.42,2025-10-12T13:54:00
538,196,101,2,4001.19,2025-03-18T15:51:00
